Job #,Channel,Ad,Item,rent,Amount,Shipping,Total Amount,Paid by F,Farahy Income,items,date
58,JUMIA,N,1 slippers,,86.0,0.0,86.0,,86.0,['slippers'],2022-04-01
63,JUMIA,N,1 slippers,,86.0,40.0,,,86.0,['slippers'],2022-04-17
64,JUMIA,N,1 slippers,,86.0,8.0,,,86.0,['slippers'],2022-04-27
71,JUMIA,N,1 slippers,,86.0,10.0,,,,['slippers'],2022-05-04
65,IG,Y,"1 slippers, 1 fan",,220.0,50.0,,,,"['slippers', 'fan']",2022-04-29
66,WHATSAPP,Y,"1 mandeel-katb-ketab, 1 fan",,710.0,55.0,765.0,,,"['mandeel-katb-ketab', 'fan']",2022-04-29
69,IG,Y,2 cap,,260.0,55.0,315.0,,,['cap'],2022-04-30
75,JUMIA,N,2 slippers,,172.0,,,,,['slippers'],2022-05-20
68,WHATSAPP,Y,1 box,,55.0,30.0,85.0,,,['box'],2022-04-30
62,IG,N,"1 mandeel-katb-ketab, 1 bouquet",,1200.0,50.0,1250.0,,1250.0,"['mandeel-katb-ketab', 'bouquet']",2022-04-15
72,EVENT,N,"1 notebook, 2 slippers, 1 cap, 2 fan, 1 mug",,750.0,,,,,"['notebook', 'slippers', 'cap', 'fan', 'mug']",2022-05-06
70,IG,Y,1 mandeel-katb-ketab,,590.0,45.0,635.0,,,['mandeel-katb-ketab'],2022-05-04
43,ALEYA,N,1 robe,,444.0,50.0,494.0,,444.0,['robe'],2021-12-11
67,IG,Y,"1 robe, 1 bathrobe, 1 slippers, 1 shoes, 1 cufflinks, 1 manadeel, 1 cap",,5289.0,120.0,,,,"['robe', 'bathrobe', 'slippers', 'shoes', 'cufflinks', 'manadeel', 'cap']",2022-04-29
61,EMPLOYEE,N,"1 mandeel-katb-ketab , 1 robe",,944.0,,,,944.0,"['mandeel-katb-ketab', 'robe']",2022-04-12
73,WHATSAPP,Y,"11 mirror, 1 fan",,770.0,50.0,820.0,,,"['mirror', 'fan']",2022-05-09
74,IG,Y,"1 mandeel-katb-ketab, 2 bathrobe, 1 slippers, 1 pyjama, 1 hat, 5 robe, 3 mug",,6330.0,70.0,6400.0,,6330.0,"['mandeel-katb-ketab', 'bathrobe', 'slippers', 'pyjama', 'hat', 'robe', 'mug']",2022-05-23
76,REFERRAL,N,"10 robe, 1 slippers",,3250.0,60.0,3310.0,,3250.0,"['robe', 'slippers']",2022-05-28
78,IG,Y,1 mandeel-katb-ketab,,650.0,50.0,700.0,,700.0,['mandeel-katb-ketab'],2022-06-03
84,NADINE,N,1 shabka-tray,,950.0,,,,950.0,['shabka-tray'],2022-06-10
79,IG,Y,1 fan,,125.0,50.0,175.0,,125.0,['fan'],2022-02-06
80,FB,N,1 fan,,125.0,50.0,175.0,,125.0,['fan'],2022-05-06
81,IG,Y,1 pyjama,,900.0,70.0,970.0,,970.0,['pyjama'],2022-06-06
85,NADINE,N,"1 welcome-board, 1 guest-book",,1650.0,150.0,1620.0,,1620.0,"['welcome-board', 'guest-book']",2022-06-13
82,IG,N,"1 robe, 1 slippers, 1 veil, 1 fan, 2 tshirt",,1604.0,200.0,1804.0,,1604.0,"['robe', 'slippers', 'veil', 'fan', 'tshirt']",2022-06-09
87,NADINE,N,1 slippers,,350.0,0.0,350.0,,350.0,['slippers'],2022-06-09
77,IG,Y,"2 slippers, 2 robe , 1 manadeel, 1 guest-book",,1950.0,60.0,2010.0,,1950.0,"['slippers', 'robe', 'manadeel']",2022-05-30
86,FB,N,1 pyjama,,950.0,100.0,1050.0,,1050.0,['pyjama'],2022-06-21
88,JUMIA,N,1 slippers,,150.0,,,,,['slippers'],2022-06-25
89,JUMIA,N,1 slippers,,150.0,,,,,['slippers'],2022-06-28
91,JUMIA,N,1 slippers,,150.0,,,,,['slippers'],2022-07-04
92,JUMIA,N,1 slippers,,150.0,,,,,['slippers'],2022-07-15
83,IG,N,"10 box, 10 cap, 1 baby-robe",,5570.0,150.0,5720.0,,,"['box', 'cap', 'baby-robe']",2022-06-13
90,IG,N,"1 robe, 1 slippers, 1 veil",,850.0,70.0,920.0,,,"['robe', 'slippers', 'veil']",2022-07-01
93,EMPLOYEE,N,"1 mug, 1 fan",,295.0,0.0,295.0,,,"['mug', 'fan']",2022-07-21
94,NADINE,N,"1 neon-sign, 1 menu",,2720.0,0.0,2720.0,,,"['neon-sign', 'menu']",2022-07-25
95,FB,N,"2 tshirt, 2 cap",,800.0,60.0,860.0,,,"['tshirt', 'cap']",2022-08-11
96,IG,N,"2 slippers, 1 pyjama, 2 robe",,1800.0,60.0,1860.0,,,"['slippers', 'pyjama', 'robe']",2022-08-13
97,NADINE,N,"1 neon-sign, 1 suit-pin",,2270.0,,2270.0,,,"['neon-sign', 'suit-pin']",2022-08-21
98,REFERRAL,N,"1 welcome-board, 1 fan",,850.0,,850.0,,,['fan'],2022-08-21
99,NADINE,N,"1 welcome-board, 1 fan",,855.0,,,,,['fan'],2022-08-20
100,NADINE,N,"1 cap, 1 skirt, 12 sashes, 1 fan, 1 tshirt",,2400.0,,2400.0,,,"['cap', 'skirt', 'sashes', 'fan', 'tshirt']",2022-08-29
101,EMPLOYEE,N,1 fan,,125.0,,,,,['fan'],2022-08-15
102,IG,N,1 shabka-tray,,999.0,65.0,1064.0,,,['shabka-tray'],2022-09-06
103,REFERRAL,N,1 mandeel-katb-ketab,,750.0,50.0,800.0,,,['mandeel-katb-ketab'],
104,NADINE,N,1 mandeel-katb-ketab,,600.0,0.0,600.0,,,['mandeel-katb-ketab'],
105,EMPLOYEE,N,"2 slippers, 1 fan , 2 kids-robe",,975.0,,975.0,,,"['slippers', 'fan', 'kids-robe']",2022-09-14
106,NADINE,N,1 mandeel-katb-ketab,,450.0,50.0,500.0,,,['mandeel-katb-ketab'],2022-09-14
107,FB,N,1 mandeel-katb-ketab,,650.0,50.0,700.0,,,['mandeel-katb-ketab'],2022-10-03
108,JUMIA,N,1 slippers,,150.0,,,,,['slippers'],2022-10-03
109,GENIE,N,1 welcome-board,,950.0,0.0,950.0,,,['welcome-board'],2022-10-05
110,IG,N,2 box,,120.0,45.0,165.0,,,['box'],2022-10-08
112,EMPLOYEE,N,"1 crown, 1 guest-book, 2 giveaways, 1 zamzam-water, 1 lantern, 1 mirror, 1 mandeel",,1869.0,0.0,1869.0,,,"['crown', 'guest-book', 'giveaways', 'zamzam-water', 'lantern', 'mirror', 'mandeel']",2022-11-02
111,NADINE,N,11 tshirt,,2750.0,,2750.0,,,['tshirt'],2022-10-06
113,JUMIA,N,1 slippers,,150.0,,,,,['slippers'],2022-11-04
114,EMPLOYEE,N,1 pin-flowers,,875.0,0.0,875.0,,,['pin-flowers'],2022-11-12
115,IG,N,"19 robe, 17 makeup-bag, 17 bracelets, 17 box",,12090.0,250.0,12340.0,,7390.0,"['robe', 'makeup-bag', 'bracelets', 'box']",2022-11-17
116,IG,N,1 guest-book,,670.0,60.0,395.0,,,['guest-book'],2022-11-26
117,NADINE,N,"1 guest-book, 1 decorations, 8 sashes, 1 jacket-jeans",,2146.0,,,,,"['guest-book', 'decorations', 'sashes', 'jacket-jeans']",2022-11-30
119,FB,N,"8 robe, 1 dress",,5337.0,,,,,"['robe', 'dress']",2022-12-09
120,NADINE,N,"1 welcome-board, 1 neon-sign",,2950.0,,2950.0,,,"['welcome-board', 'neon-sign']",2023-01-18
121,FB,N,1 mandeel-katb-ketab,,550.0,50.0,600.0,,,['mandeel-katb-ketab'],2023-01-19
122,IG,N,1 mandeel-katb-ketab,,600.0,50.0,650.0,,,['mandeel-katb-ketab'],2023-02-19
124,NADINE,N,"1 jerb, 1 fan",,1785.0,60.0,1845.0,,,"['jerb', 'fan']",2023-05-02
123,NADINE,N,"300 picture, 300 seb7a, 300 bag",,19500.0,0.0,19500.0,,,"['picture', 'seb', 'bag']",2023-04-19
